false,2026-04-30 11:28:12.376841,24,2026-04-30 11:28:12.376841,https://jobs.techstars.com/companies/testlio/jobs/76564745-looking-for-uber-drivers-in-ireland#content,Testlio,Ireland,Looking for Uber Drivers in Ireland
false,2026-04-30 11:28:12.378393,25,2026-04-30 11:28:12.378393,https://jobs.techstars.com/companies/careerflow/jobs/76572468-thai-ai-data-annotator-quality-analyst#content,Careerflow,Thailand,Thai AI Data Annotator / Quality Analyst
false,2026-04-30 11:28:12.379451,26,2026-04-30 11:28:12.379451,https://jobs.techstars.com/companies/hackajob/jobs/76665596-senior-insight-analyst-operations-engineering#content,Hackajob,"",(Senior) Insight Analyst - Operations & Engineering
false,2026-04-30 11:28:12.381603,27,2026-04-30 11:28:12.381603,https://jobs.techstars.com/companies/rivalia-chemical-co/jobs/76510731-industrial-maintenance-tech-ii-1st-shift#content,Rivalia Chemical Co.,"Aurora, CO, USA",Industrial Maintenance Tech II - 1st shift
false,2026-04-30 11:28:12.382649,28,2026-04-30 11:28:12.382649,https://jobs.techstars.com/companies/datarobot/jobs/76399411-lead-engagement-director#content,DataRobot,United States,Lead Engagement Director
false,2026-04-30 11:28:12.383684,29,2026-04-30 11:28:12.383684,https://jobs.techstars.com/companies/spacebrains/jobs/76534917-backend-devops-engineer#content,spacebrains,Italy,Backend / DevOps Engineer
false,2026-04-30 11:28:12.385247,30,2026-04-30 11:28:12.385247,https://jobs.techstars.com/companies/rivalia-chemical-co/jobs/76510729-machine-operator#content,Rivalia Chemical Co.,"Lincoln, NE, USA",Machine Operator
false,2026-04-30 11:28:12.386276,31,2026-04-30 11:28:12.386276,https://jobs.techstars.com/companies/testlio/jobs/76428217-freelance-software-tester-remote-in-louisiana#content,Testlio,North America,Freelance Software Tester (Remote in Louisiana)
false,2026-04-30 11:28:12.387890,32,2026-04-30 11:28:12.387890,https://jobs.techstars.com/companies/testlio/jobs/76428220-freelance-software-tester-remote-in-iowa#content,Testlio,North America,Freelance Software Tester (Remote in Iowa)
false,2026-04-30 11:28:12.389477,33,2026-04-30 11:28:12.389477,https://il.linkedin.com/jobs/view/business-analyst-at-wix-4407412830?utm_source=Techstars+job+board&utm_medium=getro.com&gh_src=Techstars+job+board,Westcott Multimedia,"Tel Aviv District, Israel",Business Analyst
false,2026-04-30 11:28:12.391032,34,2026-04-30 11:28:12.391032,https://jobs.techstars.com/companies/oriient/jobs/76605894-bookkeeper-payroll-specialist#content,Oriient,"Tel Aviv District, Israel",Bookkeeper & Payroll Specialist
false,2026-04-30 11:28:12.392061,35,2026-04-30 11:28:12.392061,https://jobs.techstars.com/companies/aftershoot/jobs/76425083-senior-machine-learning-engineer#content,AfterShoot,"Delhi, India",Senior Machine Learning Engineer
false,2026-04-30 11:28:12.393616,36,2026-04-30 11:28:12.393616,https://jobs.techstars.com/companies/we-make-change-2/jobs/76670450-graphic-visual-content-designer#content,We Make Change,"London, UK",Graphic & Visual Content Designer
false,2026-04-30 11:28:12.394704,37,2026-04-30 11:28:12.394704,https://jobs.techstars.com/companies/hackajob/jobs/76665597-senior-product-data-scientist-operations-delivery-intelligence#content,Hackajob,"",(Senior) Product Data Scientist - Operations Delivery Intelligence
false,2026-04-30 11:28:12.396877,38,2026-04-30 11:28:12.396877,https://jobs.techstars.com/companies/shieldpay/jobs/76541127-marketing-executive-london-hybrid#content,Shieldpay,"",Marketing Executive London · Hybrid
false,2026-04-30 11:28:12.398446,39,2026-04-30 11:28:12.398446,https://jobs.techstars.com/companies/rivalia-chemical-co/jobs/76510733-machine-operator-3rd-shift-reddi-wip-tablespreads-plant#content,Rivalia Chemical Co.,"Indianapolis, IN, USA",Machine Operator - 3rd Shift - Reddi Wip/ Tablespreads Plant
false,2026-04-30 11:28:12.400003,40,2026-04-30 11:28:12.400003,https://jobs.techstars.com/companies/datarobot/jobs/76500244-lead-engagement-director#content,DataRobot,"San Jose, CA, USA",Lead Engagement Director
false,2026-04-30 11:28:12.401591,41,2026-04-30 11:28:12.401591,https://jobs.techstars.com/companies/rivalia-chemical-co/jobs/76510737-production-operator-2nd-shift#content,Rivalia Chemical Co.,"Henning, MN, USA",Production Operator - 2nd Shift
false,2026-04-30 11:28:12.403146,42,2026-04-30 11:28:12.403146,https://jobs.techstars.com/companies/careerflow/jobs/76572467-cloud-data-migration-ai-systems-engineer-usa#content,Careerflow,United States,Cloud Data Migration & AI Systems Engineer (USA)
false,2026-04-30 11:28:12.403678,43,2026-04-30 11:28:12.403678,https://jobs.techstars.com/companies/zipline/jobs/76394717-senior-electrical-engineer-long-range-platform#content,Zipline,"South San Francisco, CA, USA",Senior Electrical Engineer - Long Range Platform
false,2026-04-30 11:28:12.404686,44,2026-04-30 11:28:12.404686,https://jobs.techstars.com/companies/convergent-2/jobs/76537178-research-and-development-internship#content,Convergent,"Marietta, GA, USA",Research and Development Internship
false,2026-04-30 11:28:12.407256,45,2026-04-30 11:28:12.407256,https://jobs.techstars.com/companies/preply/jobs/76636455-trust-and-safety-operations-specialist#content,Preply,"Barcelona, Spain",Trust and Safety Operations Specialist
false,2026-04-30 11:28:12.408821,46,2026-04-30 11:28:12.408821,https://jobs.techstars.com/companies/proxi-2-f04a9e9e-bd66-4a92-aa4b-afce6ad991b0/jobs/76492828-sr-manager-product-and-business-management#content,Proxi,"Lincoln, NE, USA","Sr Manager, Product and Business Management"
false,2026-04-30 11:28:12.409851,47,2026-04-30 11:28:12.409851,https://jobs.techstars.com/companies/hackajob/jobs/76665603-3rd-line-data-engineering-specialist#content,Hackajob,"Newcastle, UK",3rd Line Data Engineering Specialist
